National Observatory of Athens
Institute of Environmental Research and Sustainable Development, meteo.gr

Source: LIVE DATA
Date/Time: 2022-03-05 10:03:19 UTC

id   LG Code  Station Name                  Longitude      Latitude   Altitude(m)      Temp Out 
224  LGW4     Sfakia                      24.01789800   35.23021800         770.0          10.3
225  LGM2     Sitia                       26.09500000   35.20500000          30.0          17.1
226  LG24     Skiathos                    23.48750000   39.16608000          18.0          12.0
227  LG80     Skopelos                    23.72651000   39.12172000          60.0          11.4
228  LGI1     Skyros                      24.53584000   38.84186000          23.0          13.7
229  LGF7     Sparti                      22.43763300   37.05358100         204.0          12.0
230  LGG2     Spata                       23.90916900   37.98285600         120.0          13.6
231  LGS6     Spetses                     23.15488100   37.26811400           3.0          13.8
232  LG75     Spili                       24.53540000   35.21880000         405.0          13.8
233  LGS2     Stemnitsa                   22.08134000   37.55573900        1094.0           4.8
234  LG81     Steni                       23.83555100   38.58142200         450.0          11.3
235  LGJ1     Stratoni                    23.82890700   40.51503300           5.0           8.1
236  LGC4     Styra                       24.21000000   38.18300000          32.0          13.3
237  LG69     Tanagra                     23.58388900   38.33250000         133.0          13.2
238  LGK2     Theodoriana                 21.20930600   39.43740300         962.0           4.3
239  LGO6     Theologos                   23.18961200   38.66175000          30.0          12.2
240  LGR9     Thessaloniki                22.93755079   40.58553120           6.2           7.7
241  LGB8     Tinos                       25.16200400   37.53824100          20.0          13.3
242  LG57     Trikala                     21.76247000   39.55857000         163.0           6.8
243  LGR1     Trikala Korinthias          22.46970000   38.00183000        1077.0           3.9
244  LG83     Tripoli                     22.41753600   37.50920200         650.0           7.0
245  LGD0     Tristeno                    21.00129000   39.79369000         940.0           6.1
247  LGM4     Tyria                       20.69012000   39.53142000         340.0           9.1
248  LG50     Tzermiado                   25.46800000   35.18010000         820.0          13.5
249  LGZ1     Patra - University          21.78333000   38.28333000          66.0           8.6
250  LGZ2     Vari                        23.80300000   37.83300000          45.0          15.9
251  LGF0     Variko                      21.50775300   40.54434200         740.0           1.8
252  LGB7     Vartholomio                 21.20305200   37.85566300          15.0          11.5
253  LG82     Vasilitsa                   21.08305600   40.05833300        1780.0          -1.9
254  LGC2     Vatopedi                    24.21383800   40.31499600          25.0           7.8
255  LGE9     Vegoritida                  21.82531100   40.84121900         647.0           2.1
256  LGE5     Veroia                      22.25868600   40.55952800          30.0           6.3
257  LGR6     Vilia                       23.32659800   38.16469400         528.0          10.6
258  LG98     Vlasti                      21.51903600   40.45840000        1194.0          -1.6
259  LG51     Volos                       22.96193880   39.37446780          52.0          12.2
260  LGR8     Vourgareli                  21.18244400   39.37372200         820.0           6.6
261  LGN9     Vovoussa                    21.05467679   39.91464792        1024.0           ---
262  LGA7     Vrahnaiika                  21.67102500   38.16428300          15.0          11.5
263  LG70     Vrysses                     24.22960000   35.36430000          58.0          17.3
